EventType,used Bytes,Js Used,css Used,total Bytes,URL
domcontentloaded,150159,52695,97464,411596,  https://www.onet.pl/
load,162962,65190,97772,411822,  https://www.onet.pl/
networkidle0,171104,70232,100872,411822,  https://www.onet.pl/
domcontentloaded,18812,0,18812,71636,  https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/style-rm.css
load,18812,0,18812,71636,  https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/style-rm.css
networkidle0,18812,0,18812,71636,  https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/style-rm.css
domcontentloaded,112873,112873,0,411804,  https://sgqcvfjvr.onet.pl/YnVpbGQvezlza2x0YTRTfWRsQXBpL2RsLmxpYntOTWFzX0ZvOH0ubWluLmpz
load,143565,143565,0,411804,  https://sgqcvfjvr.onet.pl/YnVpbGQvezlza2x0YTRTfWRsQXBpL2RsLmxpYntOTWFzX0ZvOH0ubWluLmpz
networkidle0,272174,272174,0,823608,  https://sgqcvfjvr.onet.pl/YnVpbGQvezlza2x0YTRTfWRsQXBpL2RsLmxpYntOTWFzX0ZvOH0ubWluLmpz
domcontentloaded,30858,30858,0,65950,  https://onet.hit.gemius.pl/xgemius.js
load,31428,31428,0,65950,  https://onet.hit.gemius.pl/xgemius.js
networkidle0,33476,33476,0,65950,  https://onet.hit.gemius.pl/xgemius.js
domcontentloaded,20411,20411,0,57876,  https://www.googletagservices.com/tag/js/gpt.js
load,22439,22439,0,57876,  https://www.googletagservices.com/tag/js/gpt.js
networkidle0,44194,44194,0,115752,  https://www.googletagservices.com/tag/js/gpt.js
domcontentloaded,528,528,0,530,  https://onet.hit.gemius.pl/fpdata.js?href=www.onet.pl
load,264,264,0,265,  https://onet.hit.gemius.pl/fpdata.js?href=www.onet.pl
networkidle0,528,528,0,530,  https://onet.hit.gemius.pl/fpdata.js?href=www.onet.pl
domcontentloaded,155534,155534,0,318420,  https://lib.onet.pl/s.csr/v1/build/dlApi/dl.sg.utils.min.js
load,157760,157760,0,318420,  https://lib.onet.pl/s.csr/v1/build/dlApi/dl.sg.utils.min.js
networkidle0,157760,157760,0,318420,  https://lib.onet.pl/s.csr/v1/build/dlApi/dl.sg.utils.min.js
domcontentloaded,5580,5580,0,10656,  https://ls.hit.gemius.pl/lsget.html
load,5500,5500,0,10656,  https://ls.hit.gemius.pl/lsget.html
networkidle0,12859,12859,0,21312,  https://ls.hit.gemius.pl/lsget.html
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/aops/plansza/css/style.css
load,0,0,0,12934,  https://ocdn.eu/aops/plansza/css/style.css
networkidle0,4874,0,4874,12934,  https://ocdn.eu/aops/plansza/css/style.css
